população,popAte9,popDe10a14,popDe15a19,popDe20a24,popDe25a34,popDe35a49,popDe50a59,popMaisDe60,domiciliosA1,domiciliosA2,domiciliosB1,domiciliosB2,domiciliosC1,domiciliosC2,domiciliosD,domiciliosE
11676,1027,483,688,800,1675,2300,1784,2919,0,145,715,1242,1093,758,92,304
27564,5131,2188,2697,2630,4810,5308,2403,2397,0,0,82,506,2040,2490,827,2506
9003,883,399,597,762,1755,2076,1112,1419,0,96,404,652,644,522,77,254
9606,1072,538,660,685,1317,2007,1341,1986,114,178,393,517,945,584,137,286
57222,7677,3774,4892,4600,8660,12272,7157,8190,0,0,1089,2821,5110,5422,1073,3261
40476,3528,1703,2564,2753,5993,8071,6022,9842,290,1245,3647,3321,3289,2419,304,1059
24855,2427,1227,1777,1804,3730,5573,3556,4761,355,759,1771,1863,1902,1155,326,424
12864,1532,670,963,1076,2083,2829,1598,2113,0,82,491,750,1313,1177,172,352
249987,32651,15949,20926,20146,37750,53090,31246,38229,0,496,5246,13274,24363,22447,4564,11109
139761,13038,5225,7432,8627,21914,32089,21058,30378,13408,11668,14820,5205,3437,1841,0,3897
3678,384,205,306,297,520,824,501,641,0,0,92,220,360,225,76,270
14446,2013,966,1283,1109,2137,3210,1726,2002,0,0,57,310,1243,1181,368,1711
25789,3340,1524,1848,2213,4614,5612,2905,3733,0,0,250,1250,2460,2430,414,1447
44941,4477,2275,3191,3198,6325,9378,6333,9764,0,353,1897,3213,4450,3726,521,1630
19237,1795,854,1292,1347,2814,3917,2698,4520,0,0,957,1413,2519,1318,187,692
85229,6278,2608,4410,5911,14697,18262,12026,21037,3669,5165,11669,6106,5289,3009,371,1853
60893,6812,3350,4778,4801,9037,12955,7746,11414,0,494,1716,3817,6026,4216,610,3385
43591,3815,1905,2580,2874,6564,9626,6261,9966,146,690,3812,3957,3659,1882,233,1575
11325,1256,588,817,811,1775,2533,1456,2089,0,71,473,903,1161,712,120,558
21055,3368,1441,1771,2131,3565,4362,1927,2490,0,0,115,548,1956,2022,424,1810
2025,282,120,155,175,460,452,207,174,4,52,144,104,132,132,35,92
10441,1180,559,743,717,1608,2227,1294,2113,0,111,652,749,958,681,106,419
1403,208,125,166,103,125,570,72,34,0,114,168,88,24,3,0,2
667603,122578,55935,62342,60567,86116,105316,83341,91408,0,1389,11747,21237,33111,25779,4956,12944
35428,4212,1958,2634,2594,5242,7111,4647,7030,0,65,1367,2356,3513,3015,513,1278
24737,1926,858,1295,1659,4173,5182,3284,6360,345,845,2599,2474,2581,1265,162,771
12910,1773,805,1018,999,1985,2526,1516,2288,0,18,261,640,1281,1140,229,703
16597,2079,1011,1299,1273,2411,3502,1998,3024,0,0,335,988,1755,1384,329,794
42277,2685,1274,2031,2895,7217,9362,6334,10479,0,343,3014,5061,6387,3628,693,1684
37544,5893,2710,3486,3170,5628,8115,3712,4830,0,0,304,1607,3368,4180,732,1887
5621,664,303,411,421,961,1143,728,990,0,18,203,381,674,477,72,221
1442,181,112,143,124,202,374,151,155,0,3,45,146,159,64,8,23
5012,382,218,282,345,759,1042,769,1215,0,113,374,447,467,257,27,124
33338,3923,1966,2517,2280,4796,7294,4280,6282,0,0,488,2295,3573,2820,470,2044
30071,4181,1904,2330,2467,4745,6445,3647,4352,0,0,248,1379,2845,3259,562,1738
71095,11784,5186,6566,6735,12449,14892,6445,7038,0,0,288,1894,5421,7929,1768,5013
150524,8562,3727,6383,9168,21814,27567,21858,51445,5740,9218,19350,13160,10982,5482,998,5122
46478,5729,2893,3768,3850,7146,9369,5598,8125,0,0,1047,2433,4599,4053,723,2601
7380,837,401,525,563,1073,1511,1034,1436,291,334,526,287,361,438,75,187
79116,11524,5711,7144,6478,12238,17705,8477,9839,0,0,1032,3321,7860,7050,1914,4347
29244,5092,2300,2869,2493,4594,5959,2937,3000,0,0,123,631,2252,2624,632,2940
32069,3979,1912,2679,2492,5034,7247,3936,4790,0,117,1009,2342,3345,2339,511,1041
16051,1740,831,1140,1182,2496,3231,2052,3379,0,80,588,1118,1481,1243,166,828
11148,1512,818,956,831,1594,2339,1391,1707,0,11,203,511,916,962,177,712
15445,1463,756,1053,1177,2272,3206,2197,3321,0,169,797,1483,1418,949,167,550
6287,775,379,537,530,997,1341,782,946,0,0,121,343,627,603,89,216
27411,3235,1634,2037,1879,4404,5649,3510,5063,0,0,839,1908,2747,1885,356,1746
46584,4626,2233,3107,3259,6866,9607,6492,10394,0,572,2451,3272,4174,4040,384,1815
43362,4830,2351,3163,3232,6691,9332,5771,7992,0,549,2376,3059,3959,2559,498,2109
17675,2246,980,1367,1462,2861,3712,2023,3024,0,50,538,907,1760,1584,310,949
51456,2612,1241,2044,3049,8071,9582,7426,17431,3253,3648,7334,4041,3677,1434,184,986
19984,2311,1124,1497,1642,3320,4447,2419,3224,0,200,931,1243,1864,1815,304,623
72501,7991,3709,5257,5159,10923,16875,9607,12980,698,2569,6042,4941,5055,3919,704,1670
23620,3638,1724,2411,1922,3839,5685,2268,2133,0,85,767,1083,2007,2005,348,979
13480,1905,933,1140,1233,2195,2879,1491,1704,0,0,91,480,1334,1253,240,1025
18215,2493,1176,1521,1667,3465,4188,1868,1837,32,66,286,788,2065,2199,414,540
16455,1210,546,869,1162,2518,3307,2575,4268,1343,1173,1766,979,776,457,0,311
15596,455,201,889,3722,5714,3598,665,352,0,0,26,104,204,279,67,149
